,date,codneg,preult,voltot
192,2017-03-30,PSVM11,1.15,15007.0
193,2017-03-31,AALR3,15.63,3141709.0
194,2017-03-31,MOVI3,8.33,7697672.0
195,2017-03-31,WIZS3,17.75,11848647.0
196,2017-03-31,PARD3,20.0,6156368.0
197,2017-04-03,AALR3,15.45,7168180.0
198,2017-04-03,MOVI3,8.55,6372267.0
199,2017-04-03,WIZS3,18.15,5559882.0
200,2017-04-03,PARD3,20.73,19518145.0
201,2017-04-04,AALR3,15.57,8630483.0
202,2017-04-04,MOVI3,8.55,5010651.0
203,2017-04-04,WIZS3,17.97,7528324.0
204,2017-04-04,PARD3,21.2,4379747.0
205,2017-04-05,AALR3,15.6,3154084.0
206,2017-04-05,MOVI3,8.35,9152234.0
207,2017-04-05,WIZS3,17.77,4697992.0
208,2017-04-05,PARD3,21.17,3962155.0
209,2017-04-06,AALR3,15.3,4213237.0
210,2017-04-06,MOVI3,8.27,7141876.0
211,2017-04-06,WIZS3,17.8,3663031.0
212,2017-04-06,PARD3,21.0,4165182.0
213,2017-04-06,PSVM11,1.0,1000.0
214,2017-04-07,AALR3,15.39,1731907.0
215,2017-04-07,MOVI3,8.29,8543729.0
216,2017-04-07,WIZS3,17.51,2916407.0
217,2017-04-07,PARD3,21.5,3397413.0
218,2017-04-10,AALR3,15.58,963348.0
219,2017-04-10,MOVI3,8.3,3636305.0
220,2017-04-10,WIZS3,17.85,2564819.0
221,2017-04-10,PARD3,21.38,5835719.0
222,2017-04-11,AALR3,15.43,3976290.0
223,2017-04-11,AZUL4,22.4,292446466.0
224,2017-04-11,MOVI3,8.25,9682352.0
225,2017-04-11,WIZS3,17.94,12606750.0
226,2017-04-11,PARD3,21.2,3039591.0
227,2017-04-12,AALR3,15.65,6234636.0
228,2017-04-12,AZUL4,22.96,39625615.0
229,2017-04-12,MOVI3,8.26,14345075.0
230,2017-04-12,WIZS3,17.85,4434798.0
231,2017-04-12,PARD3,21.15,1365823.0
232,2017-04-13,AALR3,16.37,1438482.0
233,2017-04-13,AZUL4,22.99,12543130.0
234,2017-04-13,MOVI3,8.4,27552791.0
235,2017-04-13,WIZS3,17.75,4846123.0
236,2017-04-13,PARD3,21.0,1899057.0
237,2017-04-17,AALR3,16.43,1372042.0
238,2017-04-17,AZUL4,22.85,5688519.0
239,2017-04-17,MOVI3,8.78,4309050.0
240,2017-04-17,WIZS3,17.59,9802487.0
241,2017-04-17,PARD3,21.3,2962824.0
242,2017-04-18,AALR3,16.52,1282754.0
243,2017-04-18,AZUL4,23.91,26881451.0
244,2017-04-18,MOVI3,8.77,13389807.0
245,2017-04-18,WIZS3,18.0,7871225.0
246,2017-04-18,PARD3,21.8,3092290.0
247,2017-04-19,AALR3,16.46,1900364.0
248,2017-04-19,AZUL4,23.92,10655407.0
249,2017-04-19,MOVI3,8.8,3109423.0
250,2017-04-19,WIZS3,18.6,19996190.0
251,2017-04-19,PARD3,21.7,4055686.0
252,2017-04-20,AALR3,16.39,2531215.0
253,2017-04-20,AZUL4,23.86,17782320.0
254,2017-04-20,MOVI3,8.78,6625961.0
255,2017-04-20,WIZS3,18.8,4462707.0
256,2017-04-20,PARD3,22.19,4406616.0
257,2017-04-20,PSVM11,1.54,462.0
258,2017-04-24,AALR3,16.54,1982606.0
259,2017-04-24,AZUL4,24.2,9215122.0
260,2017-04-24,MOVI3,8.75,5060865.0
261,2017-04-24,WIZS3,18.68,7394303.0
262,2017-04-24,PARD3,22.37,7758185.0
263,2017-04-24,PSVM11,1.53,153.0
264,2017-04-25,AALR3,16.49,4337906.0
265,2017-04-25,AZUL4,24.1,6875875.0
266,2017-04-25,MOVI3,8.79,14945075.0
267,2017-04-25,WIZS3,18.99,6145074.0
268,2017-04-25,PARD3,22.59,4400879.0
269,2017-04-25,PSVM11,1.54,154.0
270,2017-04-26,AALR3,16.25,3446965.0
271,2017-04-26,AZUL4,23.94,10696070.0
272,2017-04-26,MOVI3,8.76,2799704.0
273,2017-04-26,WIZS3,18.7,3986997.0
274,2017-04-26,PARD3,22.58,21310946.0
275,2017-04-27,AALR3,16.85,3714977.0
276,2017-04-27,AZUL4,23.73,5233478.0
277,2017-04-27,MOVI3,8.97,9016381.0
278,2017-04-27,WIZS3,18.65,4448960.0
279,2017-04-27,PARD3,22.39,2846084.0
280,2017-04-28,AALR3,18.58,6444929.0
281,2017-04-28,AZUL4,23.96,3146957.0
282,2017-04-28,MOVI3,8.85,14520265.0
283,2017-04-28,WIZS3,18.9,2785828.0
284,2017-04-28,PARD3,22.51,12022458.0
285,2017-05-02,AALR3,17.89,8166194.0
286,2017-05-02,AZUL4,25.4,21448644.0
287,2017-05-02,MOVI3,8.76,29727936.0
288,2017-05-02,WIZS3,19.3,6876077.0
289,2017-05-02,PARD3,21.61,10148235.0
290,2017-05-03,AALR3,18.0,2074505.0
291,2017-05-03,AZUL4,25.5,5235758.0
292,2017-05-03,MOVI3,9.1,7774889.0
293,2017-05-03,PARD3,21.25,10335212.0
294,2017-05-03,PSVM11,1.2,1530.0
295,2017-05-03,WIZS3,19.5,2008094.0
296,2017-05-04,AALR3,17.98,889059.0
297,2017-05-04,AZUL4,26.26,6078547.0
298,2017-05-04,MOVI3,9.09,13558555.0
299,2017-05-04,PARD3,21.5,36831056.0
300,2017-05-04,PSVM11,1.47,2838.0
301,2017-05-04,WIZS3,19.37,2031059.0
302,2017-05-05,AALR3,18.0,5331210.0
303,2017-05-05,AZUL4,26.6,3550375.0
304,2017-05-05,MOVI3,9.35,7438994.0
305,2017-05-05,PARD3,22.35,40823282.0
306,2017-05-05,PSVM11,1.12,742.0
307,2017-05-05,WIZS3,19.25,4325356.0
308,2017-05-08,AALR3,18.0,1902268.0
309,2017-05-08,AZUL4,26.0,8231517.0
310,2017-05-08,MOVI3,9.6,5130989.0
311,2017-05-08,PARD3,22.41,3387159.0
312,2017-05-08,WIZS3,19.2,4591578.0
313,2017-05-09,AALR3,17.99,3068821.0
314,2017-05-09,AZUL4,25.8,5194891.0
315,2017-05-09,MOVI3,9.87,7964153.0
316,2017-05-09,PARD3,22.83,2502065.0
317,2017-05-09,WIZS3,19.15,4174472.0
318,2017-05-10,AALR3,18.0,5064161.0
319,2017-05-10,AZUL4,25.69,11514527.0
320,2017-05-10,MOVI3,10.2,8759476.0
321,2017-05-10,PARD3,23.77,4605340.0
322,2017-05-10,WIZS3,19.35,6484370.0
323,2017-05-11,AALR3,17.94,10171311.0
324,2017-05-11,AZUL4,25.25,5887840.0
325,2017-05-11,MOVI3,10.35,5988897.0
326,2017-05-11,PARD3,24.36,3417150.0
327,2017-05-11,PSVM11,1.12,834.0
328,2017-05-11,WIZS3,21.2,32982005.0
329,2017-05-12,AALR3,18.45,3205677.0
330,2017-05-12,AZUL4,25.25,3924817.0
331,2017-05-12,MOVI3,10.98,21988798.0
332,2017-05-12,PARD3,25.5,17785681.0
333,2017-05-12,WIZS3,21.97,14825688.0
334,2017-05-15,AALR3,18.5,4610398.0
335,2017-05-15,AZUL4,25.68,31239197.0
336,2017-05-15,MOVI3,11.0,30156097.0
337,2017-05-15,PARD3,25.74,10361134.0
338,2017-05-15,WIZS3,22.0,6694275.0
339,2017-05-16,AALR3,18.15,12262659.0
340,2017-05-16,AZUL4,26.3,19985529.0
341,2017-05-16,MOVI3,10.65,13554536.0
342,2017-05-16,PARD3,25.8,9554623.0
343,2017-05-16,PSVM11,1.1,110.0
344,2017-05-16,WIZS3,23.01,12330039.0
345,2017-05-17,AALR3,18.04,6877138.0
346,2017-05-17,AZUL4,26.5,28756872.0
347,2017-05-17,MOVI3,10.3,12136043.0
348,2017-05-17,PARD3,25.6,42613674.0
349,2017-05-17,WIZS3,22.69,15265513.0
350,2017-05-18,AALR3,16.59,5815067.0
351,2017-05-18,AZUL4,22.72,18924964.0
352,2017-05-18,MOVI3,9.27,14390160.0
353,2017-05-18,PARD3,22.5,20032136.0
354,2017-05-18,WIZS3,19.89,26250047.0
355,2017-05-19,AALR3,17.12,5818864.0
356,2017-05-19,AZUL4,23.0,12829885.0
357,2017-05-19,MOVI3,9.39,8871112.0
358,2017-05-19,PARD3,23.4,15918193.0
359,2017-05-19,WIZS3,20.2,38436169.0
360,2017-05-22,AALR3,17.0,3775380.0
361,2017-05-22,AZUL4,22.2,28799335.0
362,2017-05-22,MOVI3,8.6,22024531.0
363,2017-05-22,PARD3,22.8,6649625.0
364,2017-05-22,WIZS3,20.1,27212205.0
365,2017-05-23,AALR3,17.0,15020790.0
366,2017-05-23,AZUL4,22.04,13604214.0
367,2017-05-23,MOVI3,8.56,25732736.0
368,2017-05-23,PARD3,23.3,13868428.0
369,2017-05-23,WIZS3,21.1,11486764.0
370,2017-05-24,AALR3,17.18,5026681.0
371,2017-05-24,AZUL4,23.95,21322938.0
372,2017-05-24,MOVI3,9.07,16831403.0
373,2017-05-24,PARD3,24.54,17040023.0
374,2017-05-24,WIZS3,21.8,11576140.0
375,2017-05-25,AALR3,17.3,6812856.0
376,2017-05-25,AZUL4,25.11,27290023.0
377,2017-05-25,MOVI3,9.1,9046365.0
378,2017-05-25,PARD3,24.6,15370461.0
379,2017-05-25,WIZS3,22.0,33156164.0
380,2017-05-26,AALR3,17.55,4004095.0
381,2017-05-26,AZUL4,25.21,11613260.0
382,2017-05-26,MOVI3,8.92,19553006.0
383,2017-05-26,PARD3,24.3,17746519.0
384,2017-05-26,WIZS3,22.38,24505378.0
385,2017-05-29,AALR3,17.9,12277794.0
386,2017-05-29,AZUL4,24.81,1745127.0
387,2017-05-29,MOVI3,9.25,3983397.0
388,2017-05-29,PARD3,24.1,14330589.0
389,2017-05-29,WIZS3,22.6,6516800.0
390,2017-05-30,AALR3,18.0,4472831.0
391,2017-05-30,AZUL4,24.85,46203745.0
392,2017-05-30,MOVI3,9.25,8649073.0
393,2017-05-30,PARD3,24.0,7503682.0
394,2017-05-30,PSVM11,1.1,663.0
395,2017-05-30,WIZS3,22.35,4275043.0
396,2017-05-31,AALR3,17.73,14932008.0
397,2017-05-31,AZUL4,23.59,6121803.0
398,2017-05-31,MOVI3,9.02,20527873.0
399,2017-05-31,PARD3,23.2,24535003.0
400,2017-05-31,WIZS3,23.0,30440789.0
401,2017-06-01,AALR3,17.95,2488919.0
402,2017-06-01,AZUL4,23.0,4490289.0
403,2017-06-01,MOVI3,9.15,8789120.0
404,2017-06-01,PARD3,23.29,14028248.0
405,2017-06-01,PSVM11,1.01,404.0
406,2017-06-01,WIZS3,22.41,5595896.0
407,2017-06-02,AALR3,18.2,4301248.0
408,2017-06-02,AZUL4,23.16,3112834.0
409,2017-06-02,MOVI3,9.45,9989775.0
410,2017-06-02,PARD3,24.57,9596403.0
411,2017-06-02,WIZS3,22.57,11871003.0
412,2017-06-05,AALR3,18.0,3681254.0
413,2017-06-05,AZUL4,23.6,9567517.0
414,2017-06-05,MOVI3,9.67,12814533.0
415,2017-06-05,PARD3,24.48,12719532.0
416,2017-06-05,PSVM11,1.0,4700.0
417,2017-06-05,WIZS3,22.0,19915579.0
418,2017-06-06,AALR3,17.88,6902291.0
419,2017-06-06,AZUL4,23.47,8126339.0
420,2017-06-06,MOVI3,9.6,9402287.0
421,2017-06-06,PARD3,24.0,28552738.0
422,2017-06-06,WIZS3,21.9,11006423.0
