"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.10.2020","95.526,26","95.615,82","96.379,57","94.880,65","9,83M","-0,09%"
"06.10.2020","95.615,03","96.091,15","97.404,54","95.211,05","11,30M","-0,49%"
"05.10.2020","96.089,19","94.019,37","96.414,17","93.984,23","8,62M","2,21%"
"02.10.2020","94.015,68","95.474,63","95.995,70","93.896,61","8,58M","-1,53%"
"01.10.2020","95.478,52","94.604,15","95.486,33","93.599,05","9,24M","0,93%"
"30.09.2020","94.603,38","93.585,84","95.340,12","93.584,12","9,49M","1,09%"
"29.09.2020","93.580,35","94.664,72","95.504,78","93.408,17","8,74M","-1,15%"
"28.09.2020","94.666,37","97.005,38","98.313,73","94.370,60","10,51M","-2,41%"
"25.09.2020","96.999,38","97.011,44","97.011,80","95.631,74","7,35M","-0,01%"
"24.09.2020","97.012,07","95.735,09","97.954,63","95.652,56","9,33M","1,33%"
"23.09.2020","95.734,82","97.294,37","97.388,94","95.728,13","8,83M","-1,60%"
"22.09.2020","97.293,54","96.994,52","97.684,16","96.390,28","7,28M","0,31%"
"21.09.2020","96.990,72","98.282,75","98.282,75","95.820,34","9,74M","-1,32%"
"18.09.2020","98.289,71","100.097,73","100.101,91","98.044,81","11,37M","-1,81%"
"17.09.2020","100.097,83","99.673,77","100.250,88","98.561,51","7,86M","0,42%"
"16.09.2020","99.675,68","100.298,86","100.663,36","99.663,02","7,14M","-0,62%"
"15.09.2020","100.297,91","100.277,00","100.949,43","99.646,81","9,22M","0,02%"
"14.09.2020","100.274,52","98.366,62","100.519,80","98.366,62","8,18M","1,94%"
"11.09.2020","98.363,22","98.839,08","99.434,74","97.757,90","9,11M","-0,48%"
"10.09.2020","98.834,59","101.291,31","101.536,48","98.686,55","8,89M","-2,43%"
"09.09.2020","101.292,05","100.050,43","101.578,01","100.050,43","7,96M","1,24%"
"08.09.2020","100.050,43","101.239,34","101.239,34","99.372,98","8,48M","-1,18%"
